JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：Chimborazo Stratos-1-JLCPCB Assembly Order.xlsx,,,Download Time：2026-04-30 01:16:50,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：0.4023,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
"C2,C5,C6",,100nF,C_0805_2012Metric,,Select by Customer,CC0805KRX7R9BB104,YAGEO,0805,100nF 50V X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,Multilayer Ceramic Capacitors MLCC - SMD/SMT,,C49678,https://jlcpcb.com/partdetail/YAGEO-CC0805KRX7R9BB104/C49678,Basic,6,6 JLCPCB,0.0312
"D1,D2",,LED,LED_0805_2012Metric,,Select by Customer,KT-0805Y,Hubei KENTO Elec,0805,-40℃~+85℃ 1.8V~2.4V 120° 175mcd 40mW 584nm~594nm 596nm Discrete Diode Water Clear Yellow 0805 LED Indication - Discrete ROHS,LED Indication - Discrete,1.The comment (KT-0805Y) of this part does not match the one (LED) provided in your BOM. Please confirm;,C2296,https://jlcpcb.com/partdetail/Hubei_KENTOElec-KT0805Y/C2296,Basic,4,4 JLCPCB,0.06
F1,,Polyfuse,Fuse_1206_3216Metric,,Select by Customer,1206W4F6800T5E,UNI-ROYAL(Uniroyal Elec),1206,-55℃~+155℃ 200V 250mW 680Ω Thick Film Resistor ±1% ±100ppm/℃ 1206 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,,C17975,https://jlcpcb.com/partdetail/18663-1206W4F6800T5E/C17975,Extended,15,15 JLCPCB,0.0555
Q1,,AO3400A,SOT-23,,Select by Customer,AO3400A,Alpha & Omega Semicon,SOT-23,-55℃~+150℃ 1 N-channel 1.45V 1.4W 30V 48mΩ@2.5V 5.7A 50pF 630pF 75pF 7nC@10V N-Channel SOT-23 MOSFETs ROHS,MOSFETs,,C20917,https://jlcpcb.com/partdetail/Alpha_OmegaSemicon-AO3400A/C20917,Basic,2,2 JLCPCB,0.1634
R1,,200k,R_0805_2012Metric,,Select by Customer,0805W8F2003T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 125mW 150V 200kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F2003T5E) of this part does not match the one (200k) provided in your BOM. Please confirm;,C17539,https://jlcpcb.com/partdetail/18227-0805W8F2003T5E/C17539,Basic,2,2 JLCPCB,0.0056
R2,,100k,R_0805_2012Metric,,Select by Customer,RC0805FR-07100KL,YAGEO,0805,-55℃~+155℃ 100kΩ 125mW 150V Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (RC0805FR-07100KL) of this part does not match the one (100k) provided in your BOM. Please confirm;,C96346,https://jlcpcb.com/partdetail/YAGEO-RC0805FR07100KL/C96346,Extended,20,20 JLCPCB,0.06
"R3,R4",,4.7k,R_0805_2012Metric,,Select by Customer,0805W8F4701T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 125mW 150V 4.7kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F4701T5E) of this part does not match the one (4.7k) provided in your BOM. Please confirm;,C17673,https://jlcpcb.com/partdetail/18361-0805W8F4701T5E/C17673,Basic,4,4 JLCPCB,0.0088
R5,,10k,R_0805_2012Metric,,Select by Customer,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 10kΩ 125mW 150V Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F1002T5E) of this part does not match the one (10k) provided in your BOM. Please confirm;,C17414,https://jlcpcb.com/partdetail/18102-0805W8F1002T5E/C17414,Basic,2,2 JLCPCB,0.0058
"R6,R7",,1k,R_0805_2012Metric,,Select by Customer,0805W8F1001T5E,UNI-ROYAL(Uniroyal Elec),0805,-55℃~+155℃ 125mW 150V 1kΩ Thick Film Resistor ±1% ±100ppm/℃ 0805 Chip Resistor - Surface Mount ROHS,Chip Resistor - Surface Mount,1.The comment (0805W8F1001T5E) of this part does not match the one (1k) provided in your BOM. Please confirm;,C17513,https://jlcpcb.com/partdetail/18201-0805W8F1001T5E/C17513,Basic,4,4 JLCPCB,0.012
